Português,Inglês,Link Wikidata,Comment
Outros,Other,,
Gado,Livestock,https://www.wikidata.org/wiki/Q103459,
Erosão Eólica,Wind Erosion,https://www.wikidata.org/wiki/Q11898899,
Agentes Climáticos,Climate ,https://www.wikidata.org/wiki/Q11898899,
Vegetação,Vegetation,https://www.wikidata.org/wiki/Q187997,
Agricultura,Agriculture,https://www.wikidata.org/wiki/Q11451,
Construção Civil,Construction,https://www.wikidata.org/wiki/Q385378,
Florestação,Forestry,https://www.wikidata.org/wiki/Q38112,
Areeiro,Sand Mine,https://www.wikidata.org/wiki/Q2220733,
Pedreira,Quarry,https://www.wikidata.org/wiki/Q188040,Quarrying
Vandalismo,Vandalism,https://www.wikidata.org/wiki/Q6160,
Rede Viária,Road Network,https://www.wikidata.org/wiki/Q358078,
Abandono,Abandonment,https://www.wikidata.org/wiki/Q305418,
Erosão Marinha,Coastal Erosion,https://www.wikidata.org/wiki/Q1542312,
Erosão Fluvial,River Erosion,https://www.wikidata.org/wiki/Q11697095,
Barragem,Dam,https://www.wikidata.org/wiki/Q12323,
Pesca de Arrasto,Trawling,https://www.wikidata.org/wiki/Q105729329,
Caça Submarina,Spearfishing,https://www.wikidata.org/wiki/Q765706,?
Dragagens,Dredging,https://www.wikidata.org/wiki/Q852170,
Salinas,Salt Pan,https://www.wikidata.org/wiki/Q935277,
