Português,Inglês,Link Wikidata,Comment
Outros,Other,,
Não tem,None,,
Arame,Wire Fence,https://www.wikidata.org/wiki/Q551997,
Vedação,Fence,https://www.wikidata.org/wiki/Q148571,
Muro,Wall,https://www.wikidata.org/wiki/Q42948,
Rede,Net,https://www.wikidata.org/wiki/Q986291,
Areia,Sand,https://www.wikidata.org/wiki/Q34679,
Cobertura Natural,Natural Cover,,
Grade,Fence,https://www.wikidata.org/wiki/Q148571,
Manga,Hose,https://www.wikidata.org/wiki/Q176440,
Tábuas,Planks,https://www.wikidata.org/wiki/Q1355652,
Porta,Door,https://www.wikidata.org/wiki/Q36794,
Tapume,Siding,https://www.wikidata.org/wiki/Q1625476,
Estrutura Artificial,Artificial Structure,,
Integrado em edíficio,Integrated in building,,
