Português,Inglês,Link Wikidata,Comment
Abrigo,Shelter,https://www.wikidata.org/wiki/Q989946,
Acampamento,Camp,https://www.wikidata.org/wiki/Q1326028,?
Achado(s) Isolado(s),Isolated Finding,,Isolated find
Aeronave,Aircraft,https://www.wikidata.org/wiki/Q11436,
Alcaria,Alqueria (?),https://www.wikidata.org/wiki/Q15501937,?
Alinhamento,Alignment,,
Âncora,Anchor,https://www.wikidata.org/wiki/Q168432,
Anfiteatro,Amphitheatre,https://www.wikidata.org/wiki/Q54831,
Anta,Dolmen,https://www.wikidata.org/wiki/Q101659,
Aqueduto,Aqueduct,https://www.wikidata.org/wiki/Q474,
Ara,Ara (?),https://www.wikidata.org/wiki/Q19702902,Ara (votive are)
Armadilha de pesca,Fish Trap,https://www.wikidata.org/wiki/Q952443,Fish trap
Arte Rupestre,Rock Art,https://www.wikidata.org/wiki/Q1211146,
Atalaia,Watchtower,https://www.wikidata.org/wiki/Q185187,
Azenha,Watermill,https://www.wikidata.org/wiki/Q185187,
Balneário,Bathing Facility,https://www.wikidata.org/wiki/Q17521458,bath / public bath
Barca,Barge,https://www.wikidata.org/wiki/Q16518,
Barragem,Dam,https://www.wikidata.org/wiki/Q12323,
Basílica,Basilica,https://www.wikidata.org/wiki/Q163687,
Bateria,Gun Battery,,Gun battery
Berrão,Verraco,https://www.wikidata.org/wiki/Q2988353,boar | verraco
Cais,Wharf,https://www.wikidata.org/wiki/Q828909,
Calçada,Footpath,https://www.wikidata.org/wiki/Q3352369,
Campo de Batalha,Battlefield,https://www.wikidata.org/wiki/Q4895508,
Canal,Canal,https://www.wikidata.org/wiki/Q12284,
Canalização,Piping,https://www.wikidata.org/wiki/Q3679502,piping | canalisation
Canhão,Cannon,https://www.wikidata.org/wiki/Q81103,canyon(?)
Capela,Chapel,https://www.wikidata.org/wiki/Q108325,
Casal Rústico,Farmhouse,https://www.wikidata.org/wiki/Q489357,rustic property (?) | farmhouse
Casco,Hull,https://www.wikidata.org/wiki/Q6750281,hull (?)
Castelo,Castle,https://www.wikidata.org/wiki/Q23413,
Castelo Roqueiro,Mountain Castle,https://www.wikidata.org/wiki/Q12020325,Moutain castle (?) | Rock castle
Caverna de embarcação,Floor Timber,https://www.wikidata.org/wiki/Q3699132,?
Cemitério,Graveyard,https://www.wikidata.org/wiki/Q39614,
Cetária,Ketaria,https://www.wikidata.org/wiki/Q18462167,?
Chafurdão,,https://www.wikidata.org/wiki/Q62470523,corbelled circular drystone shelter; referência em Espanhol do wikidata
Cidade,City,https://www.wikidata.org/wiki/Q515,
Cipo,Cippus,https://www.wikidata.org/wiki/Q1752223,
Circo,Circus,https://www.wikidata.org/wiki/Q477396,
Cista,Cist (?),https://www.wikidata.org/wiki/Q1399576,?
Cisterna,Cistern,https://www.wikidata.org/wiki/Q838858,
Complexo Industrial,Factory Complex,https://www.wikidata.org/wiki/Q28843552,
Concheiro,Shell-midden,https://www.wikidata.org/wiki/Q1152199,
Conheira,Meet (?),,?
Convento,Convent,https://www.wikidata.org/wiki/Q1128397,
Covas de Lobo,Trou de Loup,https://www.wikidata.org/wiki/Q91369,
Criptopórtico,Cryptoporticus,https://www.wikidata.org/wiki/Q660398,?
Cromeleque,Cromlech,https://www.wikidata.org/wiki/Q935773,
Cruzeiro,Wayside Cross,https://www.wikidata.org/wiki/Q112650865,
Curral,Corral,https://www.wikidata.org/wiki/Q858177,
Depósito,Deposit,,
Depósito de lastro,Ballast Deposit,,
Dolmen,Dolmen,https://www.wikidata.org/wiki/Q101659,
Edíficio,Building,https://www.wikidata.org/wiki/Q41176,
Ermida,Hermitage,https://www.wikidata.org/wiki/Q513550,
Escorial,Waste Dump,https://www.wikidata.org/wiki/Q2710737,Slag heap? waste dump?
Escultura,Sculpture,https://www.wikidata.org/wiki/Q860861,
Estação de Ar Livre,Open Air Site,https://www.wikidata.org/wiki/Q17540983,
Estaleiro Naval,Shipyard,https://www.wikidata.org/wiki/Q190928,
Estela,Stelae,https://www.wikidata.org/wiki/Q178743,
Estrutura,Structure,https://www.wikidata.org/wiki/Q6671777,
Exploração mineral,Mine,https://www.wikidata.org/wiki/Q820477,
Ferraria,Blacksmith,https://www.wikidata.org/wiki/Q1639825,
Fonte,Fountain,https://www.wikidata.org/wiki/Q483453,
Forja,Forge,https://www.wikidata.org/wiki/Q40558,
Forno,Oven,https://www.wikidata.org/wiki/Q36539,
Fortificação,Fortification,fortification - Wikidata,Fortification
Fortim,Fort,https://www.wikidata.org/wiki/Q1785071,
Forum,Forum,,
Fossa,Pit,https://www.wikidata.org/wiki/Q23090513,
Fundeadouro,Anchorage,https://www.wikidata.org/wiki/Q10952797,
Galeria Coberta,Covered Gallery,,
Granja,Barn,https://www.wikidata.org/wiki/Q1303167,barn (?)
Gruta,Cave,https://www.wikidata.org/wiki/Q35509,
Gruta Artificial,Artificial Cave,https://www.wikidata.org/wiki/Q88778578,
Habitat,Habitat,https://www.wikidata.org/wiki/Q52105,
Hipocausto,Hypocaust,https://www.wikidata.org/wiki/Q731794,
Hipódromo,Hippodrome,https://www.wikidata.org/wiki/Q184949,
Hipogeu,Hypogeum,https://www.wikidata.org/wiki/Q665247,
Igreja,Church,https://www.wikidata.org/wiki/Q16970,
Indeterminado,Indefinite,,
Inscrição,Inscription,https://www.wikidata.org/wiki/Q1640824,
Inscultura,Insculture,,
Jazida,Archaelogical Site,https://www.wikidata.org/wiki/Q839954,
Lagar,Fruit Mill,https://www.wikidata.org/wiki/Q14294123,oil mill (?) | wine press?
Lagareta,Lagareta (?),,oil mill (?)
Laje Sepulcral,Tombstone,https://www.wikidata.org/wiki/Q203443,
Lixeira,Midden,https://www.wikidata.org/wiki/Q1152199,Midden  | waste disposal
Malaposta/Mutatio,Mutatio,https://www.wikidata.org/wiki/Q2745854,?
Mamoa,Mound,https://www.wikidata.org/wiki/Q15031575,
Mancha de Ocupação,Area of Occupation,,
Mansio,Mansio,https://www.wikidata.org/wiki/Q1891165,Mansion (?)
Marco,Milestone,https://www.wikidata.org/wiki/Q10145,Marker
Marco de Propriedade,Ownership Marker,,Ownership Marker
Menir,Menhir,https://www.wikidata.org/wiki/Q193475,
Mesquita,Mosque,https://www.wikidata.org/wiki/Q32815,
Miliário,Milliarium,https://www.wikidata.org/wiki/Q13360570,
Mina,Mine ,https://www.wikidata.org/wiki/Q820477,
Moinho,Mill,https://www.wikidata.org/wiki/Q44494,
Moinho de maré,Watermill,https://www.wikidata.org/wiki/Q185187,
Monteiro,Monteiro,,
Monumento Megalítico,Megalithic Monument,https://www.wikidata.org/wiki/Q164240,
Mosaico,Mosaic,https://www.wikidata.org/wiki/Q133067,
Mosteiro,Monastery,https://www.wikidata.org/wiki/Q44613,
