Português,Inglês,Link Wikidata,Comment
Outros,Other,,
Agrícola,Agricultural,https://www.wikidata.org/wiki/Q3395383,
Agrícola Baldio,Common Land,https://www.wikidata.org/wiki/Q2259176,
Baldio,Common Land,https://www.wikidata.org/wiki/Q2259176,
Florestal,Forests,https://www.wikidata.org/wiki/Q4421,
Industrial,Industrial,,
Pastoreio,Grazing,https://www.wikidata.org/wiki/Q85764397,
Turismo,Tourism,https://www.wikidata.org/wiki/Q49389,
Urbano,Urban,,
Montado,Cork Oak Forest,https://www.wikidata.org/wiki/Q5688661,
